match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
120,1,Kings XI Punjab,Delhi Daredevils,1,1,RS Bopara,K Goel,DP Nannes,0,1,0,0,0,0,0,1,1,,,
120,1,Kings XI Punjab,Delhi Daredevils,1,2,RS Bopara,K Goel,DP Nannes,0,0,0,1,0,0,0,1,1,,,
120,1,Kings XI Punjab,Delhi Daredevils,1,3,K Goel,RS Bopara,DP Nannes,0,1,0,0,0,0,0,1,1,,,
120,1,Kings XI Punjab,Delhi Daredevils,1,4,K Goel,RS Bopara,DP Nannes,0,0,0,0,0,0,0,0,0,,,
120,1,Kings XI Punjab,Delhi Daredevils,1,5,K Goel,RS Bopara,DP Nannes,0,0,0,0,0,0,4,0,4,,,
120,1,Kings XI Punjab,Delhi Daredevils,1,6,K Goel,RS Bopara,DP Nannes,0,0,0,0,0,0,0,0,0,,,
120,1,Kings XI Punjab,Delhi Daredevils,1,7,K Goel,RS Bopara,DP Nannes,0,0,0,1,0,0,0,1,1,,,
120,1,Kings XI Punjab,Delhi Daredevils,1,8,RS Bopara,K Goel,DP Nannes,0,0,0,0,0,0,2,0,2,,,
120,1,Kings XI Punjab,Delhi Daredevils,2,1,K Goel,RS Bopara,AM Salvi,0,0,0,0,0,0,4,0,4,,,
120,1,Kings XI Punjab,Delhi Daredevils,2,2,K Goel,RS Bopara,AM Salvi,0,0,0,0,0,0,4,0,4,,,
120,1,Kings XI Punjab,Delhi Daredevils,2,3,K Goel,RS Bopara,AM Salvi,0,0,0,0,0,0,1,0,1,,,
120,1,Kings XI Punjab,Delhi Daredevils,2,4,RS Bopara,K Goel,AM Salvi,0,0,0,0,0,0,0,0,0,,,
120,1,Kings XI Punjab,Delhi Daredevils,2,5,RS Bopara,K Goel,AM Salvi,0,0,0,0,0,0,1,0,1,,,
120,1,Kings XI Punjab,Delhi Daredevils,2,6,K Goel,RS Bopara,AM Salvi,0,0,0,0,0,0,1,0,1,,,
120,1,Kings XI Punjab,Delhi Daredevils,3,1,K Goel,RS Bopara,PJ Sangwan,0,0,0,1,0,0,0,1,1,,,
120,1,Kings XI Punjab,Delhi Daredevils,3,2,RS Bopara,K Goel,PJ Sangwan,0,0,0,0,0,0,6,0,6,,,
120,1,Kings XI Punjab,Delhi Daredevils,3,3,RS Bopara,K Goel,PJ Sangwan,0,0,0,0,0,0,0,0,0,,,
120,1,Kings XI Punjab,Delhi Daredevils,3,4,RS Bopara,K Goel,PJ Sangwan,0,0,0,0,0,0,1,0,1,,,
120,1,Kings XI Punjab,Delhi Daredevils,3,5,K Goel,RS Bopara,PJ Sangwan,0,0,0,0,0,0,0,0,0,,,
120,1,Kings XI Punjab,Delhi Daredevils,3,6,K Goel,RS Bopara,PJ Sangwan,0,0,0,0,0,0,2,0,2,,,
120,1,Kings XI Punjab,Delhi Daredevils,4,1,RS Bopara,K Goel,VY Mahesh,0,0,0,0,0,0,1,0,1,,,
120,1,Kings XI Punjab,Delhi Daredevils,4,2,K Goel,RS Bopara,VY Mahesh,0,0,0,0,0,0,1,0,1,,,
120,1,Kings XI Punjab,Delhi Daredevils,4,3,RS Bopara,K Goel,VY Mahesh,0,0,0,0,0,0,1,0,1,,,
120,1,Kings XI Punjab,Delhi Daredevils,4,4,K Goel,RS Bopara,VY Mahesh,0,0,0,0,0,0,6,0,6,,,
120,1,Kings XI Punjab,Delhi Daredevils,4,5,K Goel,RS Bopara,VY Mahesh,0,0,0,0,0,0,1,0,1,,,
120,1,Kings XI Punjab,Delhi Daredevils,4,6,RS Bopara,K Goel,VY Mahesh,0,0,0,0,0,0,0,0,0,,,
120,1,Kings XI Punjab,Delhi Daredevils,5,1,K Goel,RS Bopara,PJ Sangwan,0,0,0,0,0,0,1,0,1,,,
120,1,Kings XI Punjab,Delhi Daredevils,5,2,RS Bopara,K Goel,PJ Sangwan,0,0,0,0,0,0,6,0,6,,,
120,1,Kings XI Punjab,Delhi Daredevils,5,3,RS Bopara,K Goel,PJ Sangwan,0,0,0,0,0,0,2,0,2,,,
120,1,Kings XI Punjab,Delhi Daredevils,5,4,RS Bopara,K Goel,PJ Sangwan,0,0,0,0,0,0,1,0,1,,,
120,1,Kings XI Punjab,Delhi Daredevils,5,5,K Goel,RS Bopara,PJ Sangwan,0,0,0,1,0,0,0,1,1,,,
120,1,Kings XI Punjab,Delhi Daredevils,5,6,RS Bopara,K Goel,PJ Sangwan,0,0,0,0,0,0,0,0,0,,,
120,1,Kings XI Punjab,Delhi Daredevils,6,1,K Goel,RS Bopara,VY Mahesh,0,0,0,0,0,0,6,0,6,,,
120,1,Kings XI Punjab,Delhi Daredevils,6,2,K Goel,RS Bopara,VY Mahesh,0,0,0,0,0,0,0,0,0,,,
120,1,Kings XI Punjab,Delhi Daredevils,6,3,K Goel,RS Bopara,VY Mahesh,0,0,0,0,0,0,6,0,6,,,
120,1,Kings XI Punjab,Delhi Daredevils,6,4,K Goel,RS Bopara,VY Mahesh,0,0,0,0,0,0,1,0,1,,,
120,1,Kings XI Punjab,Delhi Daredevils,6,5,RS Bopara,K Goel,VY Mahesh,0,1,0,0,0,0,0,1,1,,,
120,1,Kings XI Punjab,Delhi Daredevils,6,6,RS Bopara,K Goel,VY Mahesh,0,0,0,0,0,0,1,0,1,,,
120,1,Kings XI Punjab,Delhi Daredevils,6,7,K Goel,RS Bopara,VY Mahesh,0,0,0,0,0,0,0,0,0,K Goel,caught,DL Vettori
120,1,Kings XI Punjab,Delhi Daredevils,7,1,RS Bopara,Yuvraj Singh,DL Vettori,0,0,0,0,0,0,0,0,0,RS Bopara,lbw,
120,1,Kings XI Punjab,Delhi Daredevils,7,2,KC Sangakkara,Yuvraj Singh,DL Vettori,0,0,0,0,0,0,0,0,0,,,
120,1,Kings XI Punjab,Delhi Daredevils,7,3,KC Sangakkara,Yuvraj Singh,DL Vettori,0,0,0,0,0,0,0,0,0,,,
120,1,Kings XI Punjab,Delhi Daredevils,7,4,KC Sangakkara,Yuvraj Singh,DL Vettori,0,0,0,0,0,0,0,0,0,,,
120,1,Kings XI Punjab,Delhi Daredevils,7,5,KC Sangakkara,Yuvraj Singh,DL Vettori,0,0,0,0,0,0,0,0,0,,,
120,1,Kings XI Punjab,Delhi Daredevils,7,6,KC Sangakkara,Yuvraj Singh,DL Vettori,0,0,0,0,0,0,1,0,1,,,
120,1,Kings XI Punjab,Delhi Daredevils,8,1,KC Sangakkara,Yuvraj Singh,DP Nannes,0,0,0,0,0,0,0,0,0,,,
120,1,Kings XI Punjab,Delhi Daredevils,8,2,KC Sangakkara,Yuvraj Singh,DP Nannes,0,0,0,0,0,0,1,0,1,,,
120,1,Kings XI Punjab,Delhi Daredevils,8,3,Yuvraj Singh,KC Sangakkara,DP Nannes,0,0,0,0,0,0,0,0,0,,,
120,1,Kings XI Punjab,Delhi Daredevils,8,4,Yuvraj Singh,KC Sangakkara,DP Nannes,0,0,0,0,0,0,0,0,0,,,
120,1,Kings XI Punjab,Delhi Daredevils,8,5,Yuvraj Singh,KC Sangakkara,DP Nannes,0,0,0,0,0,0,1,0,1,,,
120,1,Kings XI Punjab,Delhi Daredevils,8,6,KC Sangakkara,Yuvraj Singh,DP Nannes,0,0,0,0,0,0,1,0,1,,,
120,1,Kings XI Punjab,Delhi Daredevils,9,1,KC Sangakkara,Yuvraj Singh,DL Vettori,0,0,0,0,0,0,1,0,1,,,
120,1,Kings XI Punjab,Delhi Daredevils,9,2,Yuvraj Singh,KC Sangakkara,DL Vettori,0,0,0,0,0,0,1,0,1,,,
120,1,Kings XI Punjab,Delhi Daredevils,9,3,KC Sangakkara,Yuvraj Singh,DL Vettori,0,0,0,0,0,0,4,0,4,,,
120,1,Kings XI Punjab,Delhi Daredevils,9,4,KC Sangakkara,Yuvraj Singh,DL Vettori,0,0,0,0,0,0,0,0,0,KC Sangakkara,caught,DP Nannes
120,1,Kings XI Punjab,Delhi Daredevils,9,5,Yuvraj Singh,DPMD Jayawardene,DL Vettori,0,0,0,0,0,0,1,0,1,,,
120,1,Kings XI Punjab,Delhi Daredevils,9,6,DPMD Jayawardene,Yuvraj Singh,DL Vettori,0,0,0,0,0,0,0,0,0,,,
120,1,Kings XI Punjab,Delhi Daredevils,10,1,Yuvraj Singh,DPMD Jayawardene,DP Nannes,0,0,0,0,0,0,1,0,1,,,
120,1,Kings XI Punjab,Delhi Daredevils,10,2,DPMD Jayawardene,Yuvraj Singh,DP Nannes,0,0,0,0,0,0,4,0,4,,,
120,1,Kings XI Punjab,Delhi Daredevils,10,3,DPMD Jayawardene,Yuvraj Singh,DP Nannes,0,0,0,0,0,0,1,0,1,,,
120,1,Kings XI Punjab,Delhi Daredevils,10,4,Yuvraj Singh,DPMD Jayawardene,DP Nannes,0,0,0,0,0,0,0,0,0,,,
120,1,Kings XI Punjab,Delhi Daredevils,10,5,Yuvraj Singh,DPMD Jayawardene,DP Nannes,0,1,0,0,0,0,0,1,1,,,
120,1,Kings XI Punjab,Delhi Daredevils,10,6,Yuvraj Singh,DPMD Jayawardene,DP Nannes,0,0,0,0,0,0,0,0,0,,,
120,1,Kings XI Punjab,Delhi Daredevils,10,7,Yuvraj Singh,DPMD Jayawardene,DP Nannes,0,0,0,0,0,0,6,0,6,,,
120,1,Kings XI Punjab,Delhi Daredevils,11,1,DPMD Jayawardene,Yuvraj Singh,DL Vettori,0,0,0,0,0,0,1,0,1,,,
120,1,Kings XI Punjab,Delhi Daredevils,11,2,Yuvraj Singh,DPMD Jayawardene,DL Vettori,0,0,0,0,0,0,6,0,6,,,
120,1,Kings XI Punjab,Delhi Daredevils,11,3,Yuvraj Singh,DPMD Jayawardene,DL Vettori,0,0,0,0,0,0,0,0,0,Yuvraj Singh,run out,KD Karthik
120,1,Kings XI Punjab,Delhi Daredevils,11,4,DPMD Jayawardene,IK Pathan,DL Vettori,0,0,0,0,0,0,0,0,0,,,
120,1,Kings XI Punjab,Delhi Daredevils,11,5,DPMD Jayawardene,IK Pathan,DL Vettori,0,0,0,0,0,0,0,0,0,DPMD Jayawardene,caught,TM Dilshan
120,1,Kings XI Punjab,Delhi Daredevils,11,6,IK Pathan,PP Chawla,DL Vettori,0,0,0,0,0,0,0,0,0,PP Chawla,run out,MK Tiwary
120,1,Kings XI Punjab,Delhi Daredevils,12,1,IK Pathan,T Kohli,AM Salvi,0,0,0,0,0,0,0,0,0,,,
120,1,Kings XI Punjab,Delhi Daredevils,12,2,IK Pathan,T Kohli,AM Salvi,0,0,0,0,0,0,0,0,0,,,
120,1,Kings XI Punjab,Delhi Daredevils,12,3,IK Pathan,T Kohli,AM Salvi,0,0,0,0,0,0,2,0,2,,,
120,1,Kings XI Punjab,Delhi Daredevils,12,4,IK Pathan,T Kohli,AM Salvi,0,0,0,0,0,0,2,0,2,,,
120,1,Kings XI Punjab,Delhi Daredevils,12,5,IK Pathan,T Kohli,AM Salvi,0,0,0,0,0,0,2,0,2,,,
120,1,Kings XI Punjab,Delhi Daredevils,12,6,IK Pathan,T Kohli,AM Salvi,0,0,0,0,0,0,0,0,0,IK Pathan,caught,TM Dilshan
120,2,Delhi Daredevils,Kings XI Punjab,1,1,G Gambhir,V Sehwag,IK Pathan,0,0,0,0,0,0,0,0,0,,,
120,2,Delhi Daredevils,Kings XI Punjab,1,2,G Gambhir,V Sehwag,IK Pathan,0,1,0,0,0,0,0,1,1,,,
120,2,Delhi Daredevils,Kings XI Punjab,1,3,G Gambhir,V Sehwag,IK Pathan,0,0,0,0,0,0,0,0,0,,,
120,2,Delhi Daredevils,Kings XI Punjab,1,4,G Gambhir,V Sehwag,IK Pathan,0,0,0,0,0,0,4,0,4,,,
120,2,Delhi Daredevils,Kings XI Punjab,1,5,G Gambhir,V Sehwag,IK Pathan,0,0,0,0,0,0,0,0,0,,,
120,2,Delhi Daredevils,Kings XI Punjab,1,6,G Gambhir,V Sehwag,IK Pathan,0,0,0,0,0,0,4,0,4,,,
120,2,Delhi Daredevils,Kings XI Punjab,1,7,G Gambhir,V Sehwag,IK Pathan,0,0,0,0,0,0,0,0,0,,,
120,2,Delhi Daredevils,Kings XI Punjab,2,1,V Sehwag,G Gambhir,YA Abdulla,0,0,0,0,0,0,6,0,6,,,
120,2,Delhi Daredevils,Kings XI Punjab,2,2,V Sehwag,G Gambhir,YA Abdulla,0,0,0,0,0,0,4,0,4,,,
120,2,Delhi Daredevils,Kings XI Punjab,2,3,V Sehwag,G Gambhir,YA Abdulla,0,1,0,0,0,0,0,1,1,,,
120,2,Delhi Daredevils,Kings XI Punjab,2,4,V Sehwag,G Gambhir,YA Abdulla,0,0,0,0,0,0,0,0,0,,,
120,2,Delhi Daredevils,Kings XI Punjab,2,5,V Sehwag,G Gambhir,YA Abdulla,0,0,0,0,0,0,0,0,0,,,
120,2,Delhi Daredevils,Kings XI Punjab,2,6,V Sehwag,G Gambhir,YA Abdulla,0,0,0,0,0,0,4,0,4,,,
120,2,Delhi Daredevils,Kings XI Punjab,2,7,V Sehwag,G Gambhir,YA Abdulla,0,0,0,0,0,0,4,0,4,,,
120,2,Delhi Daredevils,Kings XI Punjab,3,1,G Gambhir,V Sehwag,VS Malik,0,0,0,1,0,0,0,1,1,,,
120,2,Delhi Daredevils,Kings XI Punjab,3,2,V Sehwag,G Gambhir,VS Malik,0,0,1,0,0,0,0,1,1,,,
120,2,Delhi Daredevils,Kings XI Punjab,3,3,G Gambhir,V Sehwag,VS Malik,0,0,0,0,0,0,1,0,1,,,
120,2,Delhi Daredevils,Kings XI Punjab,3,4,V Sehwag,G Gambhir,VS Malik,0,0,0,0,0,0,6,0,6,,,
120,2,Delhi Daredevils,Kings XI Punjab,3,5,V Sehwag,G Gambhir,VS Malik,0,0,0,0,0,0,0,0,0,,,
120,2,Delhi Daredevils,Kings XI Punjab,3,6,V Sehwag,G Gambhir,VS Malik,0,0,0,0,0,0,4,0,4,,,
120,2,Delhi Daredevils,Kings XI Punjab,4,1,G Gambhir,V Sehwag,VRV Singh,0,0,0,0,0,0,1,0,1,,,
120,2,Delhi Daredevils,Kings XI Punjab,4,2,V Sehwag,G Gambhir,VRV Singh,0,0,0,0,0,0,1,0,1,,,
120,2,Delhi Daredevils,Kings XI Punjab,4,3,G Gambhir,V Sehwag,VRV Singh,0,0,0,0,0,0,2,0,2,,,
120,2,Delhi Daredevils,Kings XI Punjab,4,4,G Gambhir,V Sehwag,VRV Singh,0,0,0,0,0,0,1,0,1,,,
120,2,Delhi Daredevils,Kings XI Punjab,4,5,V Sehwag,G Gambhir,VRV Singh,0,0,0,0,0,0,0,0,0,,,
120,2,Delhi Daredevils,Kings XI Punjab,4,6,V Sehwag,G Gambhir,VRV Singh,0,0,0,0,0,0,0,0,0,,,
120,2,Delhi Daredevils,Kings XI Punjab,5,1,G Gambhir,V Sehwag,PP Chawla,0,0,0,0,0,0,1,0,1,,,
120,2,Delhi Daredevils,Kings XI Punjab,5,2,V Sehwag,G Gambhir,PP Chawla,0,0,0,0,0,0,2,0,2,,,
120,2,Delhi Daredevils,Kings XI Punjab,5,3,V Sehwag,G Gambhir,PP Chawla,0,0,0,0,0,0,1,0,1,,,
120,2,Delhi Daredevils,Kings XI Punjab,5,4,G Gambhir,V Sehwag,PP Chawla,0,0,0,0,0,0,1,0,1,,,
120,2,Delhi Daredevils,Kings XI Punjab,5,5,V Sehwag,G Gambhir,PP Chawla,0,1,0,0,0,0,0,1,1,,,
120,2,Delhi Daredevils,Kings XI Punjab,5,6,V Sehwag,G Gambhir,PP Chawla,0,0,0,0,0,0,6,0,6,,,
